"Make:","Märke:"
"Product:","Produkt:"
"Model:","Modell:"
"Repairs","Reparationer"
"Repair","Repair"
"Price","Price"
"Select","Select"
"Select device to repair","Select device to repair"
"Select repair work","Select repair work"
"Device information","Device information"
"My repair:","Min reparation:"
"You didn't select any position","You didn't select any position"
"Serie/IMEI-nummer:","Serie/IMEI-nummer:"
"Screen lock:","Skärmlås:"
"Describe the problem:","Beskriv problemet:"
"Order ","Beställ "
"Products have been successfully added","Produkter har lagts"
"Send in the mail","Skicka in med post"
"Shipping to the store"," Lamma in i butik "
"Select device to repair","Välj modell att laga"
"My device: ","Vald modell: "
"Select repair work","Välj typ av reparation"
"Repair","Typ av reparation"
"Select","Välj"
"You didn't select any position","Ingen typ av reparation vald"
"Device information","Enhetsinformation"
"Required field","Måsta vara ifyllt"
"Select the shipping method","VÄLJ OM ENHETEN SKA SKICKAS ELLER LÄMNAS I BUTIK"
"Ship to the store","Lämna i butik"
"Select store:","Välj butik:"
"Select Shipping Method","Välj retursätt"
"Top","Upp"